Year,Brand Name,Generic Name,Total Spending,Prescription Fill Count,Unit Count
2011,Ventolin HFA,Albuterol Sulfate,199072297.7,4889379,95528093
2011,Proair HFA,Albuterol Sulfate,221936930,4784692,44759787
2011,Abilify,Aripiprazole,1715769087,3007841,98263157
2011,Advair Diskus,Fluticasone/Salmeterol,578947345.1,2462514,150975222
2011,Vyvanse,Lisdexamfetamine Dimesylate,385235408.5,2453085,75585425
2011,Lantus,Insulin Glargine;Hum.Rec.Anlog,410789437.2,2204518,36172479
2011,Flovent HFA,Fluticasone Propionate,280559007.5,1924032,22347142
2011,Adderall XR,Dextroamphetamine/Amphetamine,376431028.8,1613783,55728012
2011,Methylphenidate ER,Methylphenidate HCl,226032289.6,1332576,44673828
2011,Suboxone,Buprenorphine HCl/Naloxone HCl,318060139.8,1198265,48316821
2011,Lyrica,Pregabalin,208052625.3,1080100,75574568
2011,Seroquel XR,Quetiapine Fumarate,371592404.1,952900,36177324
2011,Spiriva,Tiotropium Bromide,215473653.8,936931,28940707
2011,Symbicort,Budesonide/Formoterol Fumarate,128740153.2,621462,6467805
2011,Carbamazepine,Carbamazepine,11436846.03,618588,99627263
2011,Humalog,Insulin Lispro,128527266.2,602919,10883844
2011,Morphine Sulfate,Morphine Sulfate,20089793.94,576161,31066801
2011,Truvada,Emtricitabine/Tenofovir,457327611.8,427891,12715594
2011,Invega,Paliperidone; Paliperidone Palmitate,283641529.9,380435,8945035
2011,Clobetasol Propionate,Clobetasol Propionate,10157350.16,379057,20788507
2013,Triumeq,Abacavir/Dolutegravir/Lamivudi,n/a,n/a,n/a
2013,Enbrel,Etanercept,255847098.5,108123,470496
